,PL battery large storage 2023,PL hydro PSH storage 2023
332,58.890142440380814,1699.3630534971924
333,70.16542670917987,340.23662210330167
334,-128.3037957811656,8.748284140980503e-05
335,-140.00122930363963,-235.16149782237238
336,96.37863304920205,783.4324502456968
337,94.18294035109714,421.02356982562264
338,100.49231519543632,207.6142181190304
339,48.19366269520116,34.498207984889255
340,-87.91403867066039,-0.013339528634265744
341,-60.915308325763334,-0.00588322514364825
342,148.82829240612807,0.01664743000626838
343,-0.0012150486592065945,-136.9973791665042
344,0.0005476488074947333,-692.8540049833986
345,-109.00725620656881,-1129.9990932660703
346,-100.08230747203977,-1129.999091551224
347,-86.61075407968006,-1129.9990908380983
348,-96.06093951156872,-1129.9990909588491
349,-99.86645886532847,-1129.999091839196
350,-108.36894806532995,-1129.9990933507843
351,0.00036537333507877977,-761.8672485344885
352,-0.0019235632843742907,-98.28418047954656
353,4.777154989694627e-05,7.179972954313815e-05
354,149.99958064557168,32.37003015430151
355,149.99956761105747,20.67948522940842
356,149.99956064659307,15.90891229371825
357,149.99955975663286,13.279363535341917
358,-35.38918265481883,2.0364783484898795e-05
359,-70.23010924021084,1.3398182764222e-05
360,-140.0012099281587,-0.004367593048164039
361,-133.16520153162526,2.9412535963331905e-06
362,-68.4107014870335,1.2333724367077787e-05
363,-70.62443465671154,1.4505274556252766e-05
364,-82.17676450956883,1.69161009394567e-05
365,149.99961621147924,6.082470784081789
366,149.99961647189812,5.711712603390384
367,149.99961646866876,5.358422512966324
368,149.99962074839564,5.046450796485505
369,-102.98204686541244,1.61417720319248e-05
370,-140.00121370913615,-0.006977678952876284
371,-140.0012167867437,-104.42188626717886
372,-110.04066293521872,1.2435760538126168e-07
373,-106.97376026694745,3.773184902462081e-06
374,0.0018036943074734662,0.0009594435933046128
375,0.0008609071418361793,0.0007662721987387773
376,0.0005991073785159973,0.0006519891231618948
377,122.5147863350513,483.914076281826
378,111.13411651813321,810.0957787894037
379,110.78056656901799,1077.7042825763012
380,111.07362907670793,836.1298408026768
381,114.8918102964808,444.55601979187355
382,29.59007570226718,14.58510201080818
383,0.000499278324339911,0.0005729935030464781
384,0.0005430036832524488,0.0005721334795165399
385,0.0005949930759719174,0.0005712640124673898
386,0.000658813607791013,0.0005707282307338252
387,0.000739196666415096,0.0005702180282473756
388,0.0008426931133432428,0.0005674356413999113
389,0.0009985238824540951,0.000571446064417964
390,0.001239713978547264,0.0005722352042905055
391,0.0017127608253983263,0.0005717765233823791
392,0.003505591832237887,0.0005614728202927879
393,-108.57731608535047,-48.25788536341249
394,-122.68891117621965,-464.88449286371576
395,-122.05238483113854,-498.05379297061086
396,-122.71883382619058,-582.9998048153006
397,-123.96220679746934,-234.54126205258112
398,-7.773713503660709e-05,-1.4372650985619039e-05
399,0.0015011445033588102,0.0005711663943311722
400,0.0006835429628472855,0.0005725442905080375
401,59.559199172356564,225.59103343338595
402,56.41802062970403,1029.5313972757988
403,150.00140060753006,1789.9999136689705
404,58.08288115827066,1716.17521921588
405,41.82015814288702,454.39381396173525
406,40.48599001542868,267.44405496558164
407,40.571444708790345,200.4492562587822
408,0.00045494759283756943,0.0005768702274317698
409,0.00045277493837649844,0.0005788186704691361
410,0.00045483115786283624,0.0005805026947891888
411,0.00045767370240443173,0.0005834898198770688
412,0.00046033065959948214,0.0005869159638035721
413,62.51057611924079,191.19800873720288
414,90.54341020159828,756.951089529759
415,0.0007059611234157678,0.000802205317303583
416,0.0015693132503038715,0.0015945416123434517
417,-0.005790804970482654,-433.0787866682985
418,-0.00232337512117438,-671.6909685925418
419,-104.5416296607022,-1129.997805224679
420,-96.84416647708697,-1129.9978091257613
421,-103.03428468305691,-1129.9978081822785
422,-93.69643513477894,-1129.9978061833694
423,-97.47091968674708,-1129.9978033486302
424,-104.40027383166326,-1129.9977912237143
425,-0.004131265462035781,-585.2433689938064
426,71.83079549603313,635.8951306403894
427,150.0013376646314,1789.9998605820474
428,150.00133697360454,1789.9998603148351
429,75.8314615703611,1656.444008537526
430,70.18311203150286,1118.5475333953736
431,82.15150788464483,154.2812811315436
432,-38.68230217354561,2.6559349797644688e-05
433,-59.307384133225874,1.4556006834212728e-05
434,-38.76215206221347,1.5948055816439524e-05
435,-23.24854800598505,2.4536985578137213e-05
436,-140.0011768818152,-66.55237980686559
437,150.0009788378081,242.73263937144077
438,150.0009829402682,1148.6519215611647
439,-0.003890074122546195,-0.00396697269969702
440,-3.2397984885773923,-1071.7032582237127
441,-109.47265501052428,-1128.7173259365754
442,-102.18112863684833,-1128.7173187802275
443,-98.6982842315324,-1128.7165237630022
444,-73.52046126141153,-1128.7146822655545
445,-101.8570879635914,-1128.7129881868661
446,-108.32356228265515,-1128.7035469669026
447,-2.6992344937671437,-626.0053860580086
448,-0.003851239942359491,-0.004945869556842555
449,0.0011461497196485107,0.001232375591120356
450,75.31030785028443,196.85704240333385
451,57.578484799418135,1165.5739158769402
452,47.91581098395023,1125.0663166982688
453,41.5002739975522,598.2683564110432
454,22.31009709537486,43.60146939161541
455,0.0004483773090456994,0.0005924370919913641
456,0.0004473929054715797,0.0005895048636198381
457,0.0004468392322305026,0.0005878669754644085
458,0.000446448966416526,0.0005867112824524458
459,0.00044607505899085657,0.0005856972761634647
460,0.0004459650919551115,0.000585389944124063
461,0.0004480802920048272,0.0005894019382131718
462,32.151044022961884,400.1854892876329
463,27.544569717607164,126.16913781531025
464,0.0004467984797030651,0.0005848243468561351
465,0.0004464941394337516,0.0005830660771854787
466,0.00044680015616654694,0.0005829503502036498
467,0.00044725079204345323,0.0005836026505840372
468,0.0004471766181593504,0.000583611426311754
469,0.00044667999203500683,0.0005832430261312834
470,0.0004465185176634424,0.0005839607914729267
471,3.572219415702961,3.895534519331299
472,31.114840938171387,247.75571749884492
473,33.162438840992536,391.8220736345877
474,36.10844935405837,599.9706526059246
475,39.829428642371056,1129.7831010963796
476,42.26869680481898,486.45604262832404
477,50.25979652226942,350.1281343557604
478,59.35259838215979,93.745484281392
479,0.00047696350135302556,0.000585824989682774
480,0.0005103163643209283,0.0005845470812712512
481,0.0005496767068281499,0.0005850923355268841
482,0.0005956062136706405,0.0005857297941630345
483,0.0006503679798958823,0.0005865701226079825
484,0.000717063537347433,0.0005868954076068662
485,0.00080259310869806,0.0005892146162694804
486,0.0009184002786707353,0.0005950162571209125
487,0.0010813978934822133,0.0005975607008431912
488,0.0013456215478929554,0.0005953202756671773
489,0.0018759093218309836,0.0005941309375322266
490,0.003693494423247284,0.0005811193684617131
491,-17.281034414012886,-1.4565925676393319e-05
492,-140.00119533409847,-475.71740262741514
493,-140.00119594628367,-901.3482414068283
494,-140.00119581374256,-791.4552790102181
495,-140.00119467665678,-107.90072233172552
496,-22.713541665166503,-7.402769921453515e-06
497,41.34535579371528,0.0006138190184377385
498,150.0007527436357,967.88757659325
499,150.00075294599466,1543.7021768294035
500,150.00075131277237,1275.5323401842033
501,25.048020491125186,0.0007688629565036108
502,30.91610925000963,0.001007182745790401
503,52.68775308395401,0.001854050206819191
504,-9.354179930227814e-06,7.271929951386288e-05
505,-92.82040940547878,-9.254404122222478e-05
506,-140.00118280276692,-471.9104167580168
507,-140.00118331624822,-829.3616611988858
508,-140.00118425846316,-921.7844204511205
509,62.82108760723899,0.00033368544035165
510,150.00100616891314,1014.4416986617354
511,150.00100724250726,842.6013882321216
512,150.00100941670613,366.013407294652
513,-0.008175931170718288,-0.006179648174373886
514,-0.003542839736011977,-0.0027411113026599675
515,-0.0023088781909161547,-0.0018788643589568981
516,-0.0017009960226916899,-0.0013453778320415269
517,-63.18871015260127,-168.02599284477085
518,-50.36217883761415,-325.4776446442667
519,-35.242371526181905,-111.09696154293928
520,-0.0011953899702061414,-0.0009242837561791377
521,-0.001173904959430071,-0.0008943864252881168
522,-0.0011592402443200108,-0.0008797094630266426
523,-0.0011335394558047599,-0.0008598325703906037
524,-0.0011382012744022003,-0.0008779950351276988
525,-23.536541491628235,-137.19158955796138
526,-24.984053391522234,-457.2630286944694
527,-24.198484499483,-577.3946487496254
528,-23.231443902748644,-522.9500067322083
529,-22.58650641305104,-490.91155638373056
530,-22.19465145018754,-472.3915755274647
531,-22.021857122533618,-463.4088693427828
532,-22.05582572298492,-463.2755943155114
533,-22.294182651859234,-474.1317114271598
534,-21.049706123618062,-157.61980332470387
535,-0.0011323771977437072,-0.0008893409844582994
536,-23.675524776717968,-342.2813148060424
537,-25.148085584111637,-466.45475392771306
538,-26.70817775623716,-494.3453144491877
539,-29.0659681083147,-533.873699565588
540,-32.93867257286198,-551.2042319685963
541,-40.14291462480459,-609.9152863465678
542,-45.34749835241898,-650.7659131017423
543,-0.0039365835651419346,-0.0029836914807214758
544,85.40479508949082,274.67058391607367
545,83.63380441111872,1569.5433568847338
546,78.0985816376972,1562.60668645498
547,73.45343544428387,1545.2659263562637
548,67.59543477881701,1308.1462411031773
549,61.91009478931508,1121.5941069967803
550,79.67348763165084,997.755509381581
551,70.23010018131366,90.41684717604184
552,-0.00048618427440329237,5.3644559542823184e-05
553,-8.302579157123401e-05,8.97647758392788e-05
554,0.0001455270582751493,0.0001627132621354005
555,0.0006399789717872599,0.00038566661866836925
556,-120.44010993468112,-92.9251208325374
557,-119.54228768230472,-136.21859280660402
558,-121.36400943584633,-32.81396618980914
559,-23.438780347671965,-8.466284542690877
560,149.996871402227,180.79875229491702
561,149.99651990140885,89.6101044896531
562,84.78417225398857,0.005371032756551888
563,-0.00726346930631914,-0.004013836022923582
564,-0.00456004158469884,-0.0030372806312311293
565,-0.0034296962238211937,-0.0027228954535146706
566,-0.0027801304270701757,-0.0022813463474386565
567,-0.0023338389535651396,-0.0019239410114045194
568,-0.001981984371992417,-0.0016036957985228373
569,-0.0017131949980585181,-0.001332814120873888
