,PL biogas substrate supply 2023,PL biomass wood supply 2023,PL electricity final use 2023,PL hard coal supply 2023,PL hydro ROR 2023,PL lignite supply 2023,PL natural gas supply 2023,PL other fuel supply 2023,PL solar PV ground 2023,PL solar PV ground new,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore new,PL wind onshore old 2023
419,153.65853658496638,918.5000026575647,20291.5068493,13120.220188986543,276.0,5561.174245941352,2052.666666663383,808.82352941225,2429.8418712699995,595.176616724,3493.7770595,1543.9586520060393,5762.97689699,0.0
420,153.65853658496638,918.5000026574623,20273.8926941,13120.220188986365,276.0,5561.174245941126,2052.666666663383,808.82352941225,2582.1614449299996,632.486471981,3401.50449585,881.1855909741944,6330.0322767,0.0
421,153.65853658496638,918.5000026573892,19868.7671233,13120.220188986266,276.0,5561.174245940991,2052.666666663383,808.82352941225,2715.59739406,665.1708856,3451.79898874,-0.0,6557.683749287803,0.0
422,153.65853658496638,918.5000026573696,19586.9406393,13120.220188986257,276.0,5561.1742459409725,2052.666666663383,808.82352941225,2702.8829224600004,662.056544588,3401.50449585,-0.0,6342.31857700404,0.0
423,153.65853658496638,918.5000026573855,19111.3584475,13120.220188986315,276.0,5561.174245941051,2052.666666663383,808.82352941225,2366.43162514,579.644620093,2903.31108793,232.14393710037348,6556.53052005,0.0
424,153.65853658496638,918.5000026574918,18759.0753425,13120.220188986483,276.0,5561.174245941295,2052.666666663383,808.82352941225,1715.2314166799995,420.136653149,2084.19675108,1817.112599275517,6256.78651403,0.0
425,153.65853658496638,918.5000026853207,18582.93379,13120.220189003003,276.0,5561.17424596969,2052.666666663383,808.82352941225,829.4737070619998,203.175095659,958.682300543,1971.9788450300002,5596.24633574,1692.4850053226207
426,153.65853658496638,1855.999999999394,18847.1461187,13120.220186350132,276.0,5933.253983521138,2052.666666663383,808.82352941225,118.13794284693861,28.9372499376,125.060821283,1599.3522909856565,4538.77556773,3049.2834346397226
427,153.65853658496638,1855.999999999394,20115.3652968,13120.220186350132,276.0,9749.069186385641,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1410.7568507681672,4003.563669,2661.2204382938553
428,153.65853658496638,1855.999999999394,19357.956621,13120.220186350132,276.0,9626.855472488583,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1288.3522210481715,3656.19358321,2413.9170035939023
429,153.65853658496638,1855.999999999394,17684.6118721,13120.220186350132,276.0,7420.403598636796,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1186.8531818864071,3368.15112944,2211.468823210473
430,153.65853658496638,1855.999999999394,16328.3219178,13120.220186350132,276.0,6302.005126852477,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1129.3383069559377,3204.93061168,2097.776894620285
431,153.65853658496638,1855.999999999394,15130.5593607,13120.220186350132,276.0,5853.916325090087,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1100.4670198051858,3122.99726067,2040.9809269797763
432,153.65853658496638,1754.0673532608746,14549.2922374,13120.220189054107,276.0,5561.17424241975,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1074.7399349671464,3049.98679011,1990.5236039391223
433,153.65853658496638,1327.6636983715414,14249.8515982,13120.220189052858,276.0,5561.17424241975,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1055.4052660066309,2995.11725102,1952.6978945586413
434,153.65853658496638,1366.7075848965042,14161.7808219,13120.220189052912,276.0,5561.17424241975,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1032.8055171566539,2930.9817954,1908.5866233086724
435,153.65853658496638,1743.5317639598377,14285.0799087,13120.22018905356,276.0,5561.17424241975,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1029.5732334669146,2921.80895068,1902.2866591189259
436,153.65853658496638,918.499999999394,14249.8515982,13120.220188623196,276.0,5561.17424241975,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,1097.2544145499996,3113.88025903,2034.6723221
437,153.65853658496638,1855.999999999394,15676.5981735,13120.220186350132,276.0,5812.331858428519,2052.666666663383,808.82352941225,43.5106095240739,10.6576885028,44.0599213772,1151.7412785850574,3268.50763646,2141.9745798396298
438,153.65853658496638,1855.999999999394,17561.3127854,13120.220186350132,276.0,5914.535661630701,2052.666666663383,808.82352941225,504.47144661427103,123.567550954,489.410656166,1142.1456272357268,3241.27629529,2123.030245780061
439,153.65853658496638,918.5000026857632,18811.9178082,13120.22018900393,276.0,5561.174245971258,2052.666666663383,808.82352941225,1683.7090830299999,412.415428111,1742.89455574,1466.7705972000003,4162.52415721,1180.6369735496337
440,153.65853658496638,918.5000026849158,19463.6415525,13120.220189002617,276.0,5561.174245968861,2052.666666663383,808.82352941225,2544.0636861300004,623.154632136,2771.9185654,1769.4193647299999,5021.40611762,15.60074862935952
441,153.65853658496638,918.5000026574296,19622.1689498,13120.220188986377,276.0,5561.174245941151,2052.666666663383,808.82352941225,3155.05705829,772.814152116,3628.51004529,169.00380719514578,5436.867071,0.0
442,153.65853658496638,918.5000026574213,20044.9086758,13120.220188986314,276.0,5561.174245941078,2052.666666663383,808.82352941225,3353.008261040001,821.301227972,4070.6350214,-0.0,5330.387498986106,0.0
443,153.65853658496638,918.5000026574569,20115.3652968,13120.220188986374,276.0,5561.174245941159,2052.666666663383,808.82352941225,3206.1108023100005,785.319490426,4139.23019043,225.48824342791795,5284.99067685,0.0
444,153.65853658496638,918.5000026574887,20185.8219178,13120.220188986415,276.0,5561.174245941219,2052.666666663383,808.82352941225,3238.0301446399994,793.137960591,4139.23019043,445.0268121853751,5098.19392733,0.0
445,153.65853658496638,918.500002657501,19710.239726,13120.22018898647,276.0,5561.174245941282,2052.666666663383,808.82352941225,3206.1108023099996,785.319490426,3933.90543688,490.6144863532181,4824.19202036,0.0
446,153.65853658496638,918.5000026575976,19322.7283105,13120.220188986672,276.0,5561.174245941538,2052.666666663383,808.82352941225,2970.16473217,727.525777421,3594.76920465,1107.9556284482096,4460.43212926,0.0
447,153.65853658496638,918.500002685156,18970.4452055,13120.220189003037,276.0,5561.174245969542,2052.666666663383,808.82352941225,2505.9778375800006,613.825709644,3002.25863918,1432.57605056,4065.48401562,18.263519454429993
448,153.65853658496638,918.5000026854516,18653.390411,13120.220189004542,276.0,5561.174245972272,2052.666666663383,808.82352941225,1854.0279443900001,454.134111484,2244.45380581,1269.3942404900004,3602.3930403,1082.8595378164525
449,153.65853658496638,1855.999999999394,18371.5639269,13120.220186350132,276.0,11429.919786070706,2052.666666663383,808.82352941225,860.7710685589896,210.841215124,1035.23518835,987.4682756719008,2802.31998257,1820.4245708839699
450,153.65853658496638,1855.999999999394,18600.5479452,13656.941140312718,276.0,22244.696969679,2052.666666663383,808.82352941225,111.91717891182321,27.4135074445,125.060821283,641.584840186222,1820.74306891,1161.7799914203567
451,153.65853658496638,1855.999999999394,19992.06621,17658.43636044797,276.0,22244.696969679,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,476.63713955327125,1352.6407018,855.9650921265276
452,153.65853658496638,1855.999999999394,19217.043379,16895.595531294304,276.0,22244.696969679,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,388.20026130530755,1101.66713933,694.0971696375574
453,153.65853658496638,1855.999999999394,17666.9977169,14951.854493230374,276.0,22244.696969679,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,357.4399128422657,1014.37285227,638.1307761825099
454,153.65853658496638,1855.999999999394,16345.9360731,13207.92076740629,276.0,22244.696969679,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,357.43991284220454,1014.37285227,638.1307761824537
455,153.65853658496638,1855.999999999394,15148.173516,13120.220186350132,276.0,19425.763165553795,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,330.0336625204709,936.597105217,588.4108525415331
456,153.65853658496638,1855.999999999394,14320.3082192,13120.220186350132,276.0,17445.893457853424,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,299.12994779645055,848.895961404,532.507417840543
457,153.65853658496638,1855.999999999394,14020.8675799,13120.220186350132,276.0,16420.916024080587,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,306.00399919841755,868.403718835,544.9275228635255
458,153.65853658496638,1855.999999999394,13985.6392694,13120.220186350132,276.0,15844.223367819413,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,333.4627234293745,946.32838078,594.6244027614919
459,153.65853658496638,1855.999999999394,14056.0958904,13120.220186350132,276.0,15353.97606462272,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,374.53836564932203,1062.89627036,669.2191020234479
460,153.65853658496638,1855.999999999394,14003.2534247,13120.220186350132,276.0,16015.026741833864,2052.666666663383,808.82352941225,-0.0,-0.0,-0.0,326.603664577387,926.86317046,582.1977138164963
461,153.65853658496638,1855.999999999394,15500.456621,13120.220186350132,276.0,21348.373582153254,2052.666666663383,808.82352941225,49.7277344602701,12.1805395822,44.0599213772,261.2556671295778,741.41316313,464.226262114632
462,153.65853658496638,1855.999999999394,17209.0296804,14640.787417135027,276.0,22244.696969679,2052.666666663383,808.82352941225,435.8356049756039,106.75557295,496.906361035,150.43126191243158,426.90640599,265.8732813967108
463,153.65853658496638,1855.999999999394,18530.0913242,13308.69724237045,276.0,22244.696969679,2052.666666663383,808.82352941225,1362.6537195566948,333.774654429,1609.1850063,136.51074478241105,387.401599346,241.1087864537108
464,153.65853658496638,1855.999999999394,19199.4292237,13120.220186350132,276.0,18626.206017269455,2052.666666663383,808.82352941225,1961.3894798018891,480.431738709,2397.58711817,237.09481899350726,672.847489522,420.80054175560304
465,153.65853658496638,1855.999999999394,19481.2557078,13120.220186350132,276.0,16037.503410311547,2052.666666663383,808.82352941225,2303.054462491901,564.120727223,2952.74166791,264.7034687254327,751.197622582,470.43158243254425
466,153.65853658496638,1855.999999999394,19851.152968,13120.220186350132,276.0,16524.236608978823,2052.666666663383,808.82352941225,2347.415002121958,574.986601337,3184.55999267,250.90664013445996,712.043829607,445.61277013257035
467,153.65853658496638,1855.999999999394,19921.609589,13120.220186350132,276.0,18453.002479509407,2052.666666663383,808.82352941225,2037.231659682022,499.008870236,3043.58877526,244.00260363250106,692.450977953,433.2058329536024
468,153.65853658496638,1855.999999999394,20009.6803653,13120.220186350132,276.0,19019.82788605977,2052.666666663383,808.82352941225,1910.8544937820316,468.053467367,3043.58877526,254.35725283450085,721.836266643,451.8168559655992
