,PL solar PV ground 2023,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore old 2023
504,0.0,0.0,0.23548400817354007,0.2046499183416732
505,0.0,0.0,0.2777250394481243,0.24296950018067842
506,0.0,0.0,0.31416929223930795,0.2764563567246971
507,0.0,0.0,0.3428573197608211,0.30310197428139785
508,0.0,0.0,0.36816976922335715,0.32682644023866886
509,0.0,0.0,0.38808329180688966,0.34563465641936764
510,0.0,0.0,0.4099639417095955,0.3664497738506685
511,0.019491817376296513,0.017952227091955413,0.43480449923054565,0.3902733082277971
512,0.04876843496806554,0.04657041809134517,0.46764997229255384,0.42209581064221885
513,0.06733443145081183,0.059960703614597356,0.5313951375948434,0.4849393715456273
514,0.06537923449028936,0.05219853713885669,0.627158418186735,0.5821990069129038
515,0.07026761580686876,0.05431279274779125,0.7209734494183206,0.6810775941624485
516,0.0624468279647789,0.04376175633648793,0.7935337887948042,0.7602195898929167
517,0.054629358866354026,0.03815522836457047,0.8254853852854377,0.7958595680153369
518,0.04779179581214497,0.03186508978452738,0.8272998236104913,0.7978985246075204
519,0.028269902321384367,0.017952227091955413,0.8200346969986902,0.7897442461828462
520,0.0038967041034268014,0.0020636515255109244,0.8227614236379867,0.7928016168595803
521,0.0,0.0,0.8163947603812024,0.7856686549145696
522,0.0,0.0,0.7935337887948042,0.7602195898929167
523,0.0,0.0,0.7556261249523781,0.7185703886038041
524,0.0,0.0,0.7209734494183206,0.6810775941624485
525,0.0,0.0,0.7030153905119985,0.6618588503174309
526,0.0,0.0,0.7247399612180568,0.6851266123910238
527,0.0,0.0,0.748169292239308,0.7104563567246971
528,0.0,0.0,0.7741821847665358,0.7388735276489413
529,0.0,0.0,0.803616272334162,0.7714122121819171
530,0.0,0.0,0.8209439130997718,0.7907633052440884
531,0.0,0.0,0.8272998236104913,0.7978985246075204
532,0.0,0.0,0.8054454572823899,0.7734480728859803
533,0.0,0.0,0.7584173680680634,0.7216142147700106
534,0.0,0.0,0.6954209226492989,0.6537737133941157
535,0.07906996906500695,0.04938267835880142,0.6047131062730199,0.5590825563712027
536,0.2777389875327399,0.18636394299842923,0.503214491460955,0.456977296175104
