,PL biogas substrate supply 2023,PL biomass wood supply 2023,PL electricity final use 2023,PL hard coal supply 2023,PL hydro ROR 2023,PL lignite supply 2023,PL natural gas supply 2023,PL other fuel supply 2023,PL solar PV ground 2023,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore old 2023
278,421.9061246601497,1954.4520030633926,19111.3584475,17346.058411592767,276.0,5561.174246466822,3866.7253333271474,808.82352941225,2303.0314327499996,2862.18493129,1702.94072177,2688.2482744169
279,434.19880758694705,1989.652003063358,18741.4611872,17553.584337518485,276.0,5561.174246466824,3950.0919999936805,808.82352941225,1980.3257557300003,2462.3234762,1642.12812678,2720.080642547538
280,449.19588075763977,2012.5000030633407,18618.1621005,17806.76596714786,276.0,5561.174246466829,4051.7993333268514,808.82352941225,1652.1784986000002,2076.2090958,1568.65826357,2844.039184617693
281,459.0300270990776,2949.9999999983,18371.5639269,17972.7867048638,276.0,7408.424859100861,4118.492666660078,808.82352941225,1048.7184448593953,1281.81706679,1423.216354427896,2686.6202814910403
282,461.4885636844371,2949.9999999983,18389.1780822,18014.291890048942,276.0,11449.213527521362,4135.165999993384,808.82352941225,323.6055225893199,384.722762611,1142.1342059365418,2123.0302458218584
283,459.0300270990776,2949.9999999983,18829.5319635,17972.7867048638,276.0,18166.724371262095,4118.492666660078,808.82352941225,24.860971531223772,22.0191617772,899.5045229085422,1650.6255174218586
284,436.65734417230647,2934.1919999983156,19217.043379,17595.08951967899,276.0,20986.70778275221,3966.7653333269873,808.82352941225,-0.0,-0.0,810.8675535755422,1481.1264439918587
285,401.99197831873806,2834.927999998415,17737.4543379,17009.866408568465,276.0,17965.713276638646,3731.671333327363,808.82352941225,-0.0,-0.0,777.8656967875421,1418.4251359918585
286,369.7851490505292,2742.7039999985072,16169.7945205,16466.148482643082,276.0,14791.415267154813,3513.2506666610457,808.82352941225,-0.0,-0.0,738.1397813405422,1343.2378837418587
287,355.0339295383724,2700.4639999985498,15112.9452055,16217.11737153222,276.0,12541.863219440462,3413.210666661206,808.82352941225,-0.0,-0.0,688.292639465542,1249.3371461918584
288,357.49246612373184,2707.5039999985424,14408.3789954,16258.622556717364,276.0,11006.988906504186,3429.8839999945126,808.82352941225,-0.0,-0.0,624.850267344542,1130.5291248918584
289,352.57539295301285,2693.4239999985566,14056.0958904,16175.612186347078,276.0,10528.822703856647,3396.5373333278994,808.82352941225,-0.0,-0.0,574.5252427125421,1036.8382498618585
290,355.0339295383724,2700.4639999985498,14003.2534247,16217.11737153222,276.0,10690.623414657468,3413.210666661206,808.82352941225,-0.0,-0.0,527.3650036455421,949.4769666778584
